# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.235, 4.747, 0.24, 0.617, 0.791, 0.299
0.303, 4.552, 0.454, 0.563, 0.707, 0.49
0.332, 3.897, 0.479, 0.637, 0.706, 0.446
0.255, 4.179, 0.473, 0.609, 0.737, 0.224
0.221, 4.857, 0.356, 0.582, 0.738, 0.119
0.306, 4.446, 0.269, 0.63, 0.777, 0.474
0.471, 3.831, 0.694, 0.529, 0.617, 0.362
0.27, 3.837, 0.321, 0.616, 0.766, 0.382
0.169, 4.635, 0.208, 0.537, 0.804, 0.242
0.656, 3.808, 0.792, 0.651, 0.586, 0.482
0.217, 4.459, 0.196, 0.485, 0.795, 0.36
0.153, 4.745, 0.211, 0.536, 0.824, 0.308
0.656, 3.808, 0.792, 0.651, 0.586, 0.482
0.275, 4.149, 0.448, 0.67, 0.74, 0.233
0.134, 4.304, 0.228, 0.527, 0.79, 0.322
0.274, 5.021, 0.168, 0.446, 0.741, 0.325
0.21, 3.942, 0.321, 0.705, 0.772, 0.465
0.329, 3.71, 0.494, 0.496, 0.687, 0.323
0.242, 4.17, 0.288, 0.372, 0.7, 0.387
0.205, 4.501, 0.247, 0.689, 0.796, 0.076
0.173, 4.59, 0.297, 0.52, 0.762, 0.117
0.187, 4.551, 0.281, 0.582, 0.763, 0.205
0.191, 4.577, 0.312, 0.572, 0.786, 0.096
0.206, 4.447, 0.307, 0.578, 0.79, 0.259
0.304, 3.343, 0.335, 0.729, 0.745, 0.454
0.515, 4.438, 0.714, 0.586, 0.604, 0.33
0.178, 4.233, 0.244, 0.487, 0.776, 0.232
0.194, 4.315, 0.336, 0.583, 0.765, 0.063
0.247, 4.612, 0.435, 0.457, 0.731, 0.265
0.297, 3.998, 0.591, 0.56, 0.703, 0.221
0.465, 4.357, 0.75, 0.661, 0.63, 0.366
0.292, 4.826, 0.304, 0.415, 0.73, 0.391
0.126, 4.427, 0.266, 0.519, 0.781, 0.351
0.225, 4.327, 0.25, 0.468, 0.769, 0.374
0.298, 4.257, 0.436, 0.516, 0.715, 0.121
0.34, 4.409, 0.431, 0.653, 0.694, 0.45
0.358, 5.107, 0.488, 0.428, 0.661, 0.337
0.207, 3.861, 0.356, 0.547, 0.774, 0.44
0.268, 4.307, 0.383, 0.627, 0.772, 0.462
0.16, 4.72, 0.223, 0.538, 0.82, 0.311
0.202, 3.838, 0.358, 0.55, 0.777, 0.44
0.323, 4.62, 0.397, 0.558, 0.71, 0.393
0.229, 4.197, 0.468, 0.614, 0.752, 0.088
0.217, 4.078, 0.23, 0.709, 0.774, 0.266
0.143, 4.717, 0.123, 0.519, 0.833, 0.07
0.217, 4.208, 0.238, 0.571, 0.796, 0.195
0.285, 4.665, 0.334, 0.612, 0.724, 0.479
0.302, 4.739, 0.636, 0.52, 0.67, 0.098
0.243, 3.749, 0.204, 0.844, 0.771, 0.181
0.317, 4.641, 0.335, 0.461, 0.72, 0.402
0.459, 4.305, 0.564, 0.674, 0.658, 0.493
0.205, 3.841, 0.32, 0.483, 0.787, 0.147
0.31, 4.415, 0.555, 0.573, 0.676, 0.355
0.253, 4.653, 0.448, 0.379, 0.726, 0.2
0.175, 4.08, 0.203, 0.689, 0.845, 0.492
0.251, 4.514, 0.363, 0.549, 0.746, 0.341
0.071, 4.156, 0.131, 0.63, 0.873, 0.383
0.401, 4.201, 0.66, 0.675, 0.658, 0.285
0.203, 4.293, 0.117, 0.477, 0.808, 0.412
0.255, 4.064, 0.512, 0.624, 0.723, 0.183
0.334, 3.6, 0.621, 0.7, 0.669, 0.45
0.288, 4.239, 0.49, 0.639, 0.714, 0.364
0.973, 4.519, 1.072, 0.643, 0.47, 0.049
0.161, 4.013, 0.227, 0.511, 0.81, 0.254
0.385, 3.518, 0.645, 0.729, 0.699, 0.153
0.2, 4.258, 0.179, 0.502, 0.785, 0.428
0.205, 4.166, 0.399, 0.654, 0.749, 0.022
0.205, 4.947, 0.323, 0.439, 0.765, 0.354
0.183, 4.653, 0.421, 0.497, 0.767, 0.3
0.148, 4.198, 0.238, 0.619, 0.829, 0.392
0.202, 4.655, 0.179, 0.587, 0.801, 0.229
0.294, 3.838, 0.472, 0.701, 0.714, 0.397
0.127, 4.545, 0.267, 0.534, 0.779, 0.3
0.24, 3.584, 0.129, 0.63, 0.814, 0.482
0.141, 4.745, 0.146, 0.548, 0.826, 0.113
0.157, 4.297, 0.157, 0.677, 0.792, 0.469
0.171, 4.56, 0.295, 0.611, 0.801, 0.046
0.157, 3.857, 0.31, 0.701, 0.793, 0.161
0.23, 4.757, 0.289, 0.489, 0.75, 0.35
0.144, 3.756, 0.144, 0.671, 0.866, 0.281
0.424, 4.673, 0.597, 0.545, 0.609, 0.14
0.155, 5.07, 0.176, 0.507, 0.8, 0.109
0.233, 4.182, 0.211, 0.667, 0.791, 0.403
0.451, 4.069, 0.767, 0.578, 0.617, 0.27
0.195, 3.889, 0.288, 0.727, 0.786, 0.476
0.147, 5.143, 0.119, 0.415, 0.808, 0.093
0.135, 3.812, 0.234, 0.548, 0.805, 0.016
0.219, 4.119, 0.397, 0.677, 0.754, 0.016
0.329, 5.208, 0.585, 0.491, 0.661, 0.118
0.224, 4.204, 0.196, 0.488, 0.791, 0.341
0.202, 4.217, 0.338, 0.565, 0.761, 0.365
0.215, 4.839, 0.303, 0.403, 0.763, 0.297
0.251, 3.879, 0.429, 0.628, 0.716, 0.3
0.135, 3.812, 0.234, 0.548, 0.805, 0.016
0.214, 4.602, 0.358, 0.482, 0.741, 0.453
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.235, 3.515, 0.269, 0.634, 0.802, 0.412
0.44, 4.144, 0.675, 0.453, 0.628, 0.252
0.174, 4.299, 0.225, 0.485, 0.775, 0.297
0.114, 4.227, 0.165, 0.315, 0.821, 0.094
0.281, 4.052, 0.571, 0.612, 0.722, 0.19
0.229, 4.197, 0.468, 0.614, 0.752, 0.088
0.26, 4.298, 0.562, 0.613, 0.718, 0.049
0.234, 4.847, 0.383, 0.58, 0.763, 0.253
0.175, 4.392, 0.16, 0.768, 0.828, 0.186
0.283, 4.194, 0.462, 0.542, 0.712, 0.239
0.364, 4.769, 0.438, 0.596, 0.682, 0.299
0.304, 3.343, 0.335, 0.729, 0.745, 0.454
0.288, 4.822, 0.413, 0.578, 0.718, 0.162
0.293, 4.821, 0.461, 0.646, 0.72, 0.097
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.424, 4.626, 0.669, 0.672, 0.648, 0.216
0.329, 5.208, 0.585, 0.491, 0.661, 0.118
0.224, 4.196, 0.148, 0.546, 0.787, 0.304
0.145, 5.141, 0.423, 0.631, 0.772, 0.259
0.133, 4.099, 0.25, 0.631, 0.8, 0.189
0.291, 3.998, 0.661, 0.663, 0.724, 0.126
0.398, 4.785, 0.676, 0.538, 0.643, 0.137
