# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.096, 3.484, 0.303, 0.52, 0.614, 0.215
0.148, 3.595, 0.337, 0.727, 0.592, 0.42
0.12, 3.865, 0.202, 0.557, 0.607, 0.444
0.085, 3.447, 0.423, 0.588, 0.586, 0.382
0.118, 3.426, 0.415, 0.647, 0.591, 0.129
0.171, 3.652, 0.691, 0.673, 0.539, 0.409
0.056, 3.662, 0.227, 0.575, 0.609, 0.365
0.107, 3.727, 0.147, 0.578, 0.632, 0.215
0.116, 3.326, 0.326, 0.525, 0.598, 0.375
0.12, 3.883, 0.245, 0.455, 0.594, 0.279
0.117, 3.72, 0.375, 0.623, 0.575, 0.479
0.093, 4.461, 0.142, 0.425, 0.62, 0.027
0.106, 3.797, 0.383, 0.463, 0.589, 0.296
0.219, 4.187, 0.481, 0.516, 0.55, 0.312
0.195, 3.224, 0.519, 0.641, 0.557, 0.278
0.065, 3.42, 0.413, 0.511, 0.591, 0.258
0.062, 3.706, 0.35, 0.54, 0.599, 0.167
0.096, 3.316, 0.392, 0.625, 0.576, 0.496
0.052, 3.78, 0.151, 0.485, 0.619, 0.077
0.176, 3.432, 0.321, 0.662, 0.599, 0.479
0.11, 4.031, 0.325, 0.537, 0.591, 0.38
0.075, 3.662, 0.438, 0.508, 0.589, 0.041
0.108, 3.449, 0.28, 0.592, 0.608, 0.135
0.141, 3.905, 0.311, 0.433, 0.578, 0.446
0.122, 3.726, 0.325, 0.7, 0.627, 0.253
0.108, 4.106, 0.356, 0.648, 0.61, 0.162
0.138, 3.981, 0.418, 0.622, 0.574, 0.402
0.106, 3.56, 0.391, 0.6, 0.593, 0.375
0.189, 3.45, 0.419, 0.583, 0.566, 0.463
0.166, 3.981, 0.465, 0.583, 0.573, 0.344
0.118, 3.984, 0.334, 0.52, 0.607, 0.329
0.07, 3.546, 0.338, 0.552, 0.582, 0.325
0.079, 3.667, 0.458, 0.599, 0.582, 0.25
0.072, 3.344, 0.206, 0.504, 0.624, 0.425
0.087, 4.557, 0.363, 0.586, 0.578, 0.298
0.121, 4.844, 0.47, 0.51, 0.547, 0.133
0.058, 3.909, 0.156, 0.551, 0.615, 0.384
0.084, 4.225, 0.15, 0.54, 0.637, 0.141
0.066, 3.714, 0.391, 0.59, 0.589, 0.405
0.106, 3.88, 0.473, 0.51, 0.587, 0.081
0.083, 3.554, 0.548, 0.565, 0.577, 0.329
0.149, 3.471, 0.181, 0.593, 0.615, 0.415
0.12, 2.972, 0.166, 0.579, 0.639, 0.417
0.086, 3.47, 0.201, 0.589, 0.615, 0.28
0.072, 3.774, 0.177, 0.5, 0.622, 0.31
0.055, 3.225, 0.32, 0.638, 0.614, 0.311
0.051, 3.785, 0.199, 0.43, 0.627, 0.066
0.115, 3.797, 0.433, 0.516, 0.578, 0.369
0.058, 3.922, 0.153, 0.589, 0.638, 0.102
0.076, 3.981, 0.278, 0.496, 0.623, 0.105
0.112, 3.694, 0.388, 0.606, 0.587, 0.092
0.149, 4.036, 0.37, 0.531, 0.596, 0.349
0.114, 3.759, 0.181, 0.589, 0.607, 0.464
0.105, 3.514, 0.202, 0.497, 0.592, 0.405
0.118, 3.988, 0.38, 0.692, 0.603, 0.294
0.123, 3.614, 0.516, 0.557, 0.55, 0.499
0.101, 3.292, 0.422, 0.81, 0.623, 0.4
0.075, 3.837, 0.457, 0.586, 0.575, 0.403
0.159, 4.36, 0.596, 0.509, 0.567, 0.269
0.079, 4.319, 0.327, 0.611, 0.606, 0.168
0.123, 4.083, 0.345, 0.547, 0.583, 0.014
0.1, 4.562, 0.145, 0.577, 0.604, 0.271
